Name,Aliases,Nationality,Ethnicity
Jans Laver,Unknown,Colombian,Latin
David Bander,Unknown,Colombian,Latin
Buck Wylde,Unknown,Unknown,Unknown
Broc Adams,Unknown,Unknown,Unknown
Liam Cyber,Unknown,American,Black
Maxx Jenkins,Unknown,American,Black
Xavi Photo,Unknown,Unknown,Unknown
Dick James,Unknown,Unknown,Unknown
Alberto Rey,Unknown,Unknown,Unknown
Rauls Bud,Unknown,Spanish,Caucasian
Darren Blaze,Unknown,Unknown,Black
Reda Semlahen,Rada Palos,"Algerian, French",Caucasian
Rawdawg Cash,Unknown,American,Black
Marc Cummings,Unknown,Unknown,Unknown
Scott Trainor,Unknown,American,Caucasian
Arin Jones,Unknown,Unknown,Asian
Shane Diesel,"Shane 'Sol' Diesel, Shane, Shane D, Big Shane",American,Black
Greg Centauro,"Greg Centaureau, Greg Centaurio, Dru Capone, Gerg Centoro, Greg Santauro, Bruno Pelliti",French,Caucasian
Wesley Pipes,Unknown,Unknown,Unknown
Thomas Stone,Unknown,Unknown,Unknown
Jay Raw,Unknown,Unknown,Latin
Bishop Delonte,Unknown,Canadian,Black
J Mac,Unknown,Unknown,Caucasian
Robert Rosenberg,Unknown,Unknown,Unknown
Andy Mann,Unknown,Unknown,Unknown
Johnny Love,"Johnny The Kid, Myles Long",American,Latin
Jay Smooth,Unknown,Polish,Caucasian
David Candle,Unknown,Unknown,Latin
Kenzo Alvarez,James,Canadian,Latin
Drake Knight,Unknown,Unknown,Caucasian
Cyrus King,Unknown,Unknown,Unknown
Bryan De Ferro,Unknown,Unknown,Unknown
Mikey Butders,Unknown,Unknown,Unknown
Ron Jeremy,"Rolf Bomp, David Elliot, R. J., Ron Silva, Ron Geremy, Ron Jeremey, Ronnie J, Ronnie Hyatt, David Elliott, Ronald Jeremy",American,Caucasian
Dave Candle,Dave Candel,Italian,Caucasian
Marc Kaye,Mark Kaye,British,Caucasian
Aaron Rock,Marcus Gomez,Dutch,Black
Franco Styles,Unknown,American,Caucasian
Mike Oxlong,Unknown,Unknown,Unknown
Kai Bailey,Unknown,American,Caucasian
Timo Hardy,Unknown,Unknown,Unknown
Kris Kixxx,"Kris K, Kris K xxx, Krisk XXX",American,Black
Frankie Young,Unknown,Unknown,Unknown
Lancelot,SsLancelot,Colombian,Black
Tony Rope,Unknown,Unknown,Black
Chad Diamond,Unknown,Unknown,Unknown
Boz,"Bows, Boz The Beast, Box",American,Black
Dustin Daring,Unknown,American,Caucasian
Julius Ceazher,Unknown,Unknown,Unknown
Ben Dover,Unknown,Unknown,Unknown
Rico Simmons,"Ricco Simmons, Rico Simons",Unknown,Caucasian
Carlos Dickinson,Unknown,American,Latin
